class_id,class_name,images,instances,evaluated,box_precision,box_recall,box_f1,box_map50,box_map50_95,mask_precision,mask_recall,mask_f1,mask_map50,mask_map50_95
0,arc_strike,21,77,True,0.782301276435904,0.7933846183331095,0.7878039673860127,0.7354065570958765,0.553685739431584,0.8323186731986502,0.8441558441558441,0.8381954690124418,0.7907286819315049,0.5818754877944438
1,continuous_undercut,21,49,True,0.2834498592353491,0.14285714285714285,0.1899703116996231,0.12883179567112138,0.08671896471236748,0.2832764488808432,0.14285714285714285,0.18993134974779016,0.14166065770641117,0.07835179364465551
2,crack,0,0,False,,,,,,,,,,
3,end_crater_pipe,0,0,False,,,,,,,,,,
4,porosity,14,42,True,0.6058836806930933,0.14285714285714285,0.23120099453686968,0.18481272266705473,0.05882717786178332,0.20165151794058758,0.047619047619047616,0.07704442129946378,0.031101816591416913,0.007229830603769567
5,root_concavity,0,0,False,,,,,,,,,,
6,root_overlap,21,21,True,0.7652903679709144,0.047619047619047616,0.0896591865610455,0.11808333333333332,0.10071775116016557,0.7634092462981787,0.047619047619047616,0.0896462466844699,0.12094047619047618,0.09794520025920815
7,slag_inclusion,0,0,False,,,,,,,,,,
8,spatter,7,49,True,0.8260290449969914,0.6938775510204082,0.7542082024199301,0.786505488900703,0.5575661497532312,0.8254094463707357,0.6938775510204082,0.7539498280710758,0.7885744544179445,0.5247939646319884
9,welding_line,56,63,True,0.7377011139926313,0.873015873015873,0.7996746632109104,0.7381002502026235,0.45131235012623383,0.7510038364868672,0.8888888888888888,0.814149554341298,0.7874982981474623,0.4856962788751532
